word,frequency,filenames
been,2,"been.json, bn.json"
behaviour,2,"behaviour.json, behavious.json"
beige,2,"beige.json, beiji.json"
big,2,"beginner.json, big.json"
blanch,2,"blanch.json, blanchard.json"
boiling,2,"boeing.json, boiling.json"
boss,2,"bos.json, boss.json"
branches,2,"braches.json, branches.json"
by,2,"by.json, yb.json"
cab,2,"cab.json, cb.json"
canny,2,"canny.json, cany.json"
cap,2,"cap.json, ncp.json"
car,2,"car.json, kr.json"
carbon,2,"carbo.json, carbon.json"
carnival,2,"carnaval.json, carnival.json"
cease,2,"cease.json, ces.json"
chic,2,"chic.json, chiche.json"
chili,2,"chili.json, chilian.json"
chlorofluorocarbon,2,"chlorofluorcarbon.json, chlorofluorocarbon.json"
choreography,2,"choregraphy.json, choreography.json"
cigarette,2,"cigaret.json, cigarette.json"
circa,2,"ca.json, circa.json"
circuitry,2,"circuitry.json, circuity.json"
citizen,2,"citizen.json, citynik.json"
coalescence,2,"calescence.json, coalescence.json"
cocaine,2,"cocain.json, cocaine.json"
colloquial,2,"collingual.json, colloquial.json"
conjunctive,2,"conjunctional.json, conjunctive.json"
conscript,2,"conscribe.json, conscript.json"
convince,2,"convince.json, vince.json"
count,2,"conte.json, count.json"
cow,2,"cow.json, cwo.json"
critique,2,"critique.json, crito.json"
curd,2,"curd.json, kurd.json"
cycle,2,"cy.json, cycle.json"
dance,2,"ance.json, dance.json"
dancer,2,"dancer.json, dancery.json"
day,2,"day.json, dy.json"
decant,2,"decan.json, decant.json"
deep,2,"deep.json, depp.json"
demagogue,2,"demagogue.json, uragogue.json"
demand,2,"demand.json, demander.json"
dementia,2,"dementation.json, dementia.json"
depict,2,"depict.json, depicture.json"
descendant,2,"descendant.json, descendent.json"
diameter,2,"diameter.json, viameter.json"
diamond,2,"diam.json, diamond.json"
different,2,"different.json, differently.json"
digressive,2,"digressional.json, digressive.json"
diocese,2,"diocese.json, diose.json"
disarm,2,"deseam.json, disarm.json"
disdain,2,"disdain.json, distain.json"
disfigurement,2,"disfiguration.json, disfigurement.json"
dispensable,2,"dispensable.json, dispensible.json"
diurnal,2,"diarial.json, diurnal.json"
doctor,2,"doctor.json, dr.json"
doctoral,2,"doctoral.json, doctorial.json"
drier,2,"drier.json, dryer.json"
ductility,2,"ductility.json, dustibility.json"
dysfunction,2,"disfunction.json, dysfunction.json"
dyskinesia,2,"dyskinesia.json, dyskinesis.json"
dyspepsia,2,"dysopsy.json, dyspepsia.json"
ease,2,"ease.json, es.json"
edible,2,"alible.json, edible.json"
eerie,2,"eerie.json, erie.json"
electric,2,"anelectric.json, electric.json"
electricity,2,"electricity.json, eletricity.json"
elite,2,"elise.json, elite.json"
embarrass,2,"embar.json, embarrass.json"
emphasis,2,"emphasis.json, emphraxis.json"
emulate,2,"emulant.json, emulate.json"
equal,2,"eq.json, equal.json"
eradicate,2,"eradicate.json, radicate.json"
etymology,2,"atmology.json, etymology.json"
examination,2,"examination.json, exanimation.json"
example,2,"begin.json, example.json"
exfoliation,2,"effoliation.json, exfoliation.json"
expedite,2,"expediate.json, expedite.json"
expensive,2,"expensive.json, inexpensive.json"
expose,2,"expos.json, expose.json"
extracurricular,2,"extracurricular.json, extracurriculum.json"
farthest,2,"farmost.json, farthest.json"
fee,2,"fe.json, fee.json"
felicity,2,"felicity.json, licity.json"
femininity,2,"femininity.json, feminity.json"
filmmaker,2,"filmmaker.json, filmnik.json"
fledgling,2,"fledging.json, fledgling.json"
free,2,"fr.json, free.json"
from,2,"fm.json, from.json"
gaily,2,"gaily.json, gally.json"
gauge,2,"ga.json, gauge.json"
gem,2,"gem.json, jem.json"
gene,2,"gen.json, gene.json"
ginkgo,2,"gingko.json, ginkgo.json"
giveback,2,"giroback.json, giveback.json"
goby,2,"gobi.json, goby.json"
good,2,"gd.json, good.json"
goodbye,2,"goodby.json, goodbye.json"
goodwill,2,"goodwill.json, goodwillnik.json"
gregarious,2,"greg.json, gregarious.json"
groan,2,"groa.json, groan.json"
guild,2,"guild.json, guilde.json"
guy,2,"guy.json, gy.json"
hairy,2,"hairy.json, hari.json"
hallelujah,2,"halleluja.json, hallelujah.json"
handkerchief,2,"handkerchief.json, hankerchief.json"
hauler,2,"hailer.json, hauler.json"
helium,2,"helio.json, helium.json"
hijack,2,"highjack.json, hijack.json"
homey,2,"homey.json, homy.json"
honorary,2,"honorary.json, honourary.json"
horse,2,"hors.json, horse.json"
host,2,"host.json, hst.json"
hug,2,"hg.json, hug.json"
hungry,2,"hungary.json, hungry.json"
hypodermic,2,"hypoderm.json, hypodermic.json"
ice,2,"ice.json, lce.json"
id,2,"id.json, idd.json"
idealistic,2,"idealistic.json, idealistical.json"
idiosyncrasy,2,"idiosyncracy.json, idiosyncrasy.json"
illogical,2,"illocal.json, illogical.json"
imitate,2,"imitate.json, immit.json"
immaculate,2,"immaculate.json, immanacle.json"
impart,2,"impart.json, impaste.json"
impediment,2,"impediment.json, impedimental.json"
inch,2,"inc.json, inch.json"
indebted,2,"indebt.json, indebted.json"
indicator,2,"indicator.json, indictor.json"
indispensable,2,"indispensable.json, indispensible.json"
individual,2,"dividual.json, individual.json"
inexorable,2,"inexorable.json, inexorably.json"
inflammatory,2,"infamatory.json, inflammatory.json"
informative,2,"informative.json, informatory.json"
inimical,2,"inimicable.json, inimical.json"
injunction,2,"injunct.json, injunction.json"
install,2,"instal.json, install.json"
instantiate,2,"incorporate.json, instantiate.json"
intern,2,"intern.json, interne.json"
introspection,2,"introflection.json, introspection.json"
introverted,2,"introversible.json, introverted.json"
inventory,2,"integrity.json, inventory.json"
irk,2,"irc.json, irk.json"
it,2,"it.json, tt.json"
jasmine,2,"jasmin.json, jasmine.json"
jest,2,"jess.json, jest.json"
jewel,2,"jewel.json, jules.json"
jungle,2,"jung.json, jungle.json"
karma,2,"karla.json, karma.json"
keep,2,"keep.json, kp.json"
kilogram,2,"kg.json, kilogram.json"
knee,2,"knee.json, ni.json"
lap,2,"lap.json, lapp.json"
ling,2,"ling.json, lng.json"
linguistic,2,"linguistic.json, linguistical.json"
lion,2,"lion.json, lyon.json"
lipid,2,"lipid.json, lipin.json"
little,2,"lill.json, little.json"
love,2,"l.json, love.json"
lubricate,2,"lubric.json, lubricate.json"
lucky,2,"lucky.json, lucy.json"
lunar,2,"lu.json, lunar.json"
macabre,2,"macaber.json, macabre.json"
magnificent,2,"magnific.json, magnificent.json"
main,2,"main.json, maine.json"
mango,2,"mango.json, mongo.json"
marshal,2,"marshal.json, marshall.json"
marten,2,"marten.json, morton.json"
martyr,2,"marty.json, martyr.json"
masquerade,2,"masquer.json, masquerade.json"
mathematical,2,"mathematic.json, mathematical.json"
meaty,2,"meaty.json, meetee.json"
menace,2,"menace.json, menacer.json"
mercantile,2,"mercantile.json, merchantile.json"
met,2,"met.json, nmet.json"
misinterpret,2,"misinterpret.json, misinterprete.json"
miss,2,"mis.json, miss.json"
mitosis,2,"mitose.json, mitosis.json"
molluscicide,2,"molluscacide.json, molluscicide.json"
monologue,2,"monolog.json, monologue.json"
mournful,2,"moanful.json, mournful.json"
multifunctional,2,"multifunction.json, multifunctional.json"
mutt,2,"mut.json, mutt.json"
myrrh,2,"myrj.json, myrrh.json"
name,2,"name.json, nm.json"
nebulous,2,"nebulitic.json, nebulous.json"
needful,2,"needful.json, netful.json"
needy,2,"needly.json, needy.json"
never,2,"neva.json, never.json"
new,2,"ne.json, new.json"
nickel,2,"nickel.json, nickle.json"
novice,2,"novartis.json, novice.json"
nucleus,2,"nucleus.json, nuclus.json"
oak,2,"oa.json, oak.json"
ode,2,"ode.json, odi.json"
okay,2,"okay.json, okey.json"
organic,2,"organic.json, organical.json"
overthrow,2,"overthrow.json, overthrowal.json"
packet,2,"packet.json, porket.json"
pad,2,"pad.json, pd.json"
pairs,2,"iprs.json, pairs.json"
pan,2,"pam.json, pan.json"
parachute,2,"parachute.json, parashoot.json"
paradox,2,"paradog.json, paradox.json"
paraphrase,2,"parapack.json, paraphrase.json"
parents,2,"barents.json, parents.json"
passable,2,"passable.json, passible.json"
patentee,2,"patentee.json, patentor.json"
pathogen,2,"pathogen.json, pathogene.json"
pea,2,"pe.json, pea.json"
peel,2,"peel.json, pele.json"
peregrine,2,"peregal.json, peregrine.json"
perky,2,"perky.json, persky.json"
petrify,2,"petrify.json, petrolize.json"
phoenix,2,"pheic.json, phoenix.json"
pier,2,"pier.json, pierre.json"
pierce,2,"pearce.json, pierce.json"
pique,2,"piko.json, pique.json"
play,2,"pla.json, play.json"
pleasurable,2,"pleasurable.json, pleasureable.json"
point,2,"point.json, pont.json"
politicization,2,"politicalization.json, politicization.json"
practical,2,"practic.json, practical.json"
pray,2,"pra.json, pray.json"
premonition,2,"premonition.json, premunition.json"
primeval,2,"primaeval.json, primeval.json"
prism,2,"prism.json, prismy.json"
propeller,2,"propeller.json, propellor.json"
proprietary,2,"proprietary.json, proprietory.json"
pub,2,"pob.json, pub.json"
pun,2,"pun.json, puno.json"
put,2,"pu.json, put.json"
python,2,"pyquiton.json, python.json"
raze,2,"rase.json, raze.json"
reevaluate,2,"reevaluate.json, revaluate.json"
regret,2,"regrate.json, regret.json"
relinquish,2,"relinguish.json, relinquish.json"
repulse,2,"repulse.json, revulse.json"
reservoir,2,"reservior.json, reservoir.json"
resilient,2,"resilient.json, start.json"
result,2,"result.json, results.json"
rhesus,2,"rh.json, rhesus.json"
roam,2,"roam.json, rome.json"
rogue,2,"rog.json, rogue.json"
rub,2,"rb.json, rub.json"
rubbish,2,"rubbish.json, tubbish.json"
rue,2,"ru.json, rue.json"
run,2,"rn.json, run.json"
satirize,2,"satinize.json, satirize.json"
schedule,2,"sched.json, schedule.json"
seckill,2,"seckill.json, seckilling.json"
seer,2,"seer.json, seir.json"
sentence,2,"sentence.json, sentisection.json"
serene,2,"serena.json, serene.json"
serial,2,"serial.json, serially.json"
sew,2,"sew.json, soe.json"
sextant,2,"sextant.json, sexto.json"
sham,2,"sham.json, shm.json"
sir,2,"sir.json, sr.json"
situate,2,"situ.json, situate.json"
slaughter,2,"slaught.json, slaughter.json"
slave,2,"slav.json, slave.json"
soon,2,"soon.json, sooner.json"
specialization,2,"specialization.json, specilization.json"
specific,2,"specific.json, specifical.json"
state,2,"state.json, staten.json"
stereotype,2,"stere.json, stereotype.json"
straightforward,2,"straightforward.json, straightforwards.json"
subjugation,2,"subjugation.json, subjunction.json"
such,2,"sc.json, such.json"
sum,2,"sm.json, sum.json"
superconductivity,2,"superconductivity.json, supraconductivity.json"
suppression,2,"suppressant.json, suppression.json"
surgery,2,"surgeoncy.json, surgery.json"
surreal,2,"surelease.json, surreal.json"
tailor,2,"tailor.json, taylor.json"
technology,2,"technology.json, tecnology.json"
telepathy,2,"telepaper.json, telepathy.json"
telephone,2,"otophone.json, telephone.json"
test,2,"tess.json, test.json"
the,2,"th.json, the.json"
time,2,"tim.json, time.json"
tip,2,"tip.json, tpp.json"
today,2,"today.json, todd.json"
toil,2,"toefl.json, toil.json"
tomorrow,2,"tmo.json, tomorrow.json"
transgene,2,"transgene.json, transgenome.json"
trap,2,"attrap.json, trap.json"
turn,2,"turin.json, turn.json"
underlying,2,"underlie.json, underlying.json"
uniform,2,"luniform.json, uniform.json"
uniformed,2,"twiformed.json, uniformed.json"
usurp,2,"usp.json, usurp.json"
venomous,2,"venenous.json, venomous.json"
verse,2,"erse.json, verse.json"
vigil,2,"vigil.json, virgil.json"
vitamin,2,"vitami.json, vitamin.json"
volcanoes,2,"volcanoes.json, volcanos.json"
wade,2,"vade.json, wade.json"
warehouse,2,"warehouse.json, wareroom.json"
was,2,"was.json, woz.json"
wetland,2,"welland.json, wetland.json"
why,2,"whv.json, why.json"
wicket,2,"wicket.json, wiikite.json"
wintry,2,"wintery.json, wintry.json"
wolf,2,"wolf.json, wwf.json"
xerox,2,"xerocopy.json, xerox.json"
you,2,"u.json, you.json"
youth,2,"youth.json, youthen.json"
zealot,2,"zantiot.json, zealot.json"
zen,2,"zen.json, zn.json"
zero,2,"zero.json, zr.json"
谦逊,2,"humbleness.json, humility.json"
