id,headword_id,word,sentence,answer,distractors
121,885,agenda,The first item on the meeting's ___ is the approval of last month's minutes.,agenda,"{report,conclusion,summary}"
122,887,agent,The real estate ___ helped the couple find a home within their price range and location preference.,agent,"{landlord,tenant,buyer}"
123,907,aggression,"The dog's growling and bared teeth were clear signs of ___, which worried its owner.",aggression,"{affection,curiosity,hesitation}"
125,930,ago,He moved to this city several years ___ and has lived here ever since.,ago,"{before,beyond,away}"
134,996,aim,The archer took a deep breath and adjusted her stance before taking ___ at the target.,aim,"{focus,sight,center}"
135,1007,aircraft,"The airport handles every type of civilian ___, from small private planes to large passenger jets.",aircraft,"{vessel,automobile,satellite}"
136,1018,airline,The international ___ announced new flights to several Asian destinations next year.,airline,"{agency,service,network}"
137,1026,airport,"After arriving at the ___ two hours early, they checked their luggage and headed to security.",airport,"{station,harbor,hotel}"
138,1059,alarm,"The fire ___ sounded throughout the building, prompting an immediate evacuation.",alarm,"{signal,response,drill}"
141,1090,alcohol,The label warns that the hand sanitizer contains a high concentration of ___ and should not be ingested.,alcohol,"{lotion,soap,bleach}"
142,1093,alcoholic,He decided to join a support group after recognizing his long-term struggle with ___.,alcoholism,"{loneliness,insomnia,poverty}"
147,1148,alike,"The twins dress ___ and even speak with the same gestures, making it hard to tell them apart.",alike,"{formally,casually,differently}"
148,1158,alive,"Despite the harsh conditions, the hikers were found ___ after being missing for five days.",alive,"{hungry,cold,calm}"
154,1202,allocate,The government plans to ___ more funds to public education in the next fiscal year.,allocate,"{withhold,confiscate,borrow}"
160,1248,alone,"As the only inhabitant of the island, the castaway had to learn to live ___.",alone,"{cautiously,quietly,simply}"
181,1442,among,The rare artifact was discovered ___ a collection of old family heirlooms in the attic.,among,"{outside,beside,against}"
182,1455,amount,No ___ of persuasion could change her mind about the decision she had made.,amount,"{number,kind,reason}"
197,1689,animal,"He argued that humans are not separate from nature, but are simply another type of ___.",animal,"{machine,spirit,object}"
199,1730,anniversary,The couple celebrated their 25th wedding ___ with a romantic dinner at the same restaurant where they had their first date.,anniversary,"{birthday,holiday,reunion}"
200,1733,announce,The principal will ___ the winner of the science fair during tomorrow's assembly.,announce,"{interview,congratulate,question}"
201,1735,announcement,There was a loud ___ over the school intercom about the schedule change for Friday.,announcement,"{conversation,rumor,debate}"
209,1780,answer,The student raised her hand to provide the correct ___ to the teacher's question.,answer,"{opinion,comment,story}"
216,2021,anyone,"If ___ has a problem with the new policy, they should report it to management.",anyone,"{somewhere,no one,anyhow}"
219,2026,anywhere,Is there ___ we can go to talk privately without being overheard?,anywhere,"{somewhere,everywhere,nowhere}"
230,2118,appear,"As the morning fog began to lift, the vague shape of a ship started to ___ on the horizon.",appear,"{vanish,drift,sail}"
232,2140,appetite,"After hiking all morning, she developed a huge ___ and ate the entire sandwich in minutes.",appetite,"{headache,thirst,fatigue}"
240,2165,appointment,She checked her calendar and realized she had a dentist ___ scheduled for Thursday afternoon.,appointment,"{meeting,deadline,reminder}"
241,2178,appreciate,It's difficult to fully ___ the complexity of this piece of music without understanding the composer's intentions.,appreciate,"{criticize,perform,ignore}"
243,2191,approach,"As the hikers began to ___ the mountain's summit, the air grew thinner and colder.",approach,"{abandon,observe,descend}"
246,2204,approval,The new policy was implemented only after receiving full ___ from the board of directors.,approval,"{feedback,funding,criticism}"
249,2211,approximately,"The drive to the airport takes ___ thirty minutes, but you should allow more time during rush hour.",approximately,"{exactly,over,barely}"
268,2428,arrangement,The seating ___ at the conference made it easy for everyone to see the speaker.,arrangement,"{schedule,speech,topic}"
272,2446,arrive,We expect the package to ___ by Wednesday at the latest.,arrive,"{depart,travel,ship}"
274,2462,art,"She studied European ___ from the Renaissance to the modern period, focusing on painting and sculpture.",art,"{science,politics,religion}"
275,2494,article,He read an interesting ___ in the newspaper about the city's new recycling program.,article,"{headline,advertisement,photograph}"
284,2579,ask,"If you don't understand the instructions, you should ___ the teacher for clarification.",ask,"{tell,ignore,thank}"
286,2590,aspect,The polished gem's most stunning ___ was the way it reflected light from every facet.,aspect,"{price,origin,weight}"
301,2658,assistance,"Unable to lift the heavy box on his own, he asked a coworker for ___.",assistance,"{permission,an opinion,a reason}"
334,2938,aunt,"My mother's sister, my ___, is an incredible painter.",aunt,"{cousin,niece,grandmother}"
340,3028,automatic,"The new factory system is fully ___, operating on its own without needing constant human supervision.",automatic,"{mechanical,efficient,complex}"
346,3080,average,"While some days were hot and others cool, the ___ temperature for the month was a pleasant 72 degrees.",average,"{highest,lowest,record}"
349,3121,awake,"It was past midnight, but the strong coffee she drank earlier kept her wide ___.",awake,"{calm,tense,bored}"
351,3126,aware,"As she walked down the dark street, she suddenly became ___ of footsteps behind her.",aware,"{afraid,concerned,certain}"
353,3129,away,"After finishing college, she decided to move ___ from her hometown to a big city.",away,"{out,on,off}"
362,3263,bacon,"For breakfast, she likes to fry thin strips of salty ___ until they are brown and crispy.",bacon,"{sausage,ham,steak}"
367,3298,bag,He packed a sandwich and a bottle of water in his lunch ___ for work.,bag,"{box,basket,container}"
372,3347,ball,He threw the ___ against the wall and caught it as it bounced back.,ball,"{stone,book,shoe}"
373,3352,ballet,She put on her pointe shoes and tutu for her performance in the classic ___ 'The Nutcracker'.,ballet,"{opera,play,musical}"
378,3385,band,"The guitarist, drummer, and lead singer formed a rock ___ and began playing gigs in local clubs.",band,"{orchestra,company,choir}"
383,3457,bare,"She walked through the snow with ___ feet, regretting the decision immediately.",bare,"{warm,dry,shod}"
388,3526,base,"I spend a lot of time in Brussels, but London is still my ___.",base,"{foundation,basis,support}"
391,3535,basement,"To prevent flooding in the lowest part of the house, a special pump was installed in the ___.",basement,"{attic,roof,balcony}"
396,3552,basketball,He dribbled the ___ down the court before scoring a slam dunk.,basketball,"{soccer ball,volleyball,football}"
398,3569,bat,"Using echolocation to navigate in the dark, the nocturnal ___ swooped down to catch an insect.",bat,"{owl,eagle,moth}"
407,3640,beans,"For his chili recipe, he needed a can of red kidney ___ to add protein and flavor.",beans,"{pods,sprouts,kernels}"
411,3661,beat,"Despite their best efforts, the challengers were unable to ___ the reigning champions in the final match.",beat,"{join,assist,follow}"
416,3695,bed,"The hotel room was furnished with a dresser, a nightstand, and a comfortable king-size ___.",bed,"{chair,table,sofa}"
419,3731,beef,The steakhouse was famous for its aged ___ served with a side of roasted potatoes.,beef,"{pork,lamb,chicken}"
420,3741,beer,"The brewery specialized in crafting a hoppy India Pale Ale, a popular type of ___.",beer,"{wine,cider,liquor}"
428,3798,behind,He hid ___ the curtain so that no one would be able to see him.,behind,"{through,toward,upon}"
435,3856,below,"In the old sailing ship, the sailors' quarters were located ___ deck, away from the wind and rain.",below,"{over,across,beside}"
436,3857,belt,"His new pants were a little too loose, so he wore a leather ___ to keep them up.",belt,"{strap,scarf,tie}"
440,3873,beneath,The archeological team uncovered an ancient city that had been buried ___ layers of volcanic ash for centuries.,beneath,"{beside,through,beyond}"
446,3941,besides,"___ being a talented musician, she is also fluent in four languages.",Besides,"{Despite,Regarding,Unlike}"
450,3979,better,"She had been sick with the flu, but after a day of rest, she felt much ___.",better,"{worse,sicker,weaker}"
454,4039,bicycle,"For exercise, he pedaled his ___ up the steep hill, training for the upcoming race.",bicycle,"{scooter,moped,motorcycle}"
455,4042,bid,The company won the government contract after submitting the lowest ___ for the project.,bid,"{invoice,report,application}"
459,4107,billion,"The company's revenue was one thousand million, an amount more commonly referred to as one ___.",billion,"{million,thousand,trillion}"
466,4257,birth,The documentary captured the dramatic moment of the cub's ___ in stunning detail.,birth,"{death,journey,capture}"
468,4266,biscuit,"To go with his fried chicken, he ordered a side of flaky buttermilk ___, a classic Southern dish.",biscuit,"{breadstick,scone,roll}"
470,4276,bit,Could you move over just a little ___ so I have more room on the bench?,bit,"{space,section,part}"
478,4331,blanket,"As the evening grew cold, she pulled a warm wool ___ up to her chin.",blanket,"{pillow,mattress,curtain}"
490,4459,blow,He had to take a deep breath and ___ hard to extinguish all the candles on his birthday cake.,blow,"{spit,cough,yell}"
491,4468,blue,"After his best friend moved away, he felt ___ for weeks and lost interest in his usual hobbies.",blue,"{angry,annoyed,puzzled}"
494,4516,boat,We rented a small ___ to explore the hidden beaches along the coastline.,boat,"{bicycle,tent,car}"
500,4568,bomb,"During the war, the intelligence team discovered a hidden ___ in the city center.",bomb,"{monument,bunker,archive}"
503,4589,bone,"The X-ray clearly showed the fracture in his arm, revealing the broken ___.",bone,"{muscle,tendon,skin}"
509,4645,boot,"The system wouldn't start, so he used a special disk to ___ the computer from an external drive.",boot,"{charge,open,format}"
510,4662,border,The river forms a natural ___ between the two countries.,border,"{capital,park,center}"
513,4674,born,"Her passport states that she was ___ in a small coastal town, although she grew up in the city.",born,"{raised,schooled,settled}"
514,4680,borrow,Can I ___ your pen for a moment? I promise to return it after class.,borrow,"{steal,purchase,keep}"
516,4703,both,The movie was a success with critics and audiences alike; ___ groups gave it rave reviews.,both,"{Either,Neither,Every}"
518,4708,bottle,She carefully poured the homemade wine into a glass ___ and sealed it with a cork.,bottle,"{jug,flask,cup}"
521,4732,bound,The new law states that all companies are legally ___ to provide a safe working environment for their employees.,bound,"{advised,suggested,permitted}"
526,4773,boy,"The young ___ ran through the park, laughing as he chased after the soccer ball.",boy,"{girl,woman,gentleman}"
528,4807,brain,An MRI scan provides a detailed image of the physical structure of the human ___.,brain,"{mind,consciousness,thought}"
533,4865,bread,She sliced the warm loaf of ___ and spread butter on it for her sandwich.,bread,"{cake,pie,pastry}"
534,4872,break,He fell awkwardly during the soccer match and managed to ___ his arm.,break,"{bruise,sprain,strain}"
538,4887,breast,A mammogram is an X-ray picture used to screen for abnormalities in ___ tissue.,breast,"{chest,lung,muscle}"
543,4929,brick,The chimney was made of red ___ and contrasted sharply with the white walls of the house.,brick,"{stone,concrete,tile}"
550,4969,bring,"When you come over for dinner tonight, please ___ a dessert to share.",bring,"{make,buy,find}"
557,5054,brother,"My mother has two sons; I am the older one, and he is my younger ___.",brother,"{cousin,nephew,stepson}"
558,5062,brown,"The chocolate Labrador is a popular breed, known for its friendly nature and glossy, ___ coat.",brown,"{black,golden,spotted}"
560,5084,brush,She used a soft-bristled ___ to detangle her long hair without causing breakage.,brush,"{pick,razor,sponge}"
571,5151,building,"The fire code applies to every ___ in the city, from single-family homes to the tallest skyscrapers.",building,"{floor,room,address}"
575,5206,bunch,He bought a large ___ of bananas at the market to make smoothies for the week.,bunch,"{stalk,piece,group}"
583,5290,bush,The gardener trimmed the overgrown rose ___ to encourage new blooms.,bush,"{tree,vine,lawn}"
586,5319,busy,"She is too ___ to attend the meeting, as she is working on an urgent project.",busy,"{tired,unprepared,reluctant}"
589,5331,butter,"For baking the flaky croissants, the chef insisted on using only high-quality, cold ___.",butter,"{cheese,yogurt,milk}"
590,5341,button,She sewed the loose ___ back onto her coat before it fell off completely.,button,"{zipper,snap,buckle}"
591,5345,buy,We plan to ___ a new car once we've saved enough money from our monthly salaries.,buy,"{lease,borrow,repair}"
593,5357,bye,She waved and said '___!' before closing the door and heading off to school.,bye,"{farewell,cheers,welcome}"
598,5447,cake,She carefully sliced the multi-layered ___ and served a piece to each of the wedding guests.,cake,"{bread,quiche,casserole}"
599,5471,calculate,"Using the receipts and a spreadsheet, he needed to ___ his total expenses for the business trip to get reimbursed.",calculate,"{review,approve,report}"
604,5522,calm,"Despite the storm, the captain remained ___ and guided the ship safely to port.",calm,"{silent,stern,alert}"
605,5563,camera,She adjusted the settings on her digital ___ before photographing the rare bird.,camera,"{tripod,lens,printer}"
607,5571,campaign,The politician launched an intensive advertising ___ to gain more support before the election.,campaign,"{policy,debate,slogan}"
611,5594,canal,"Tourists enjoyed a slow boat ride along the scenic ___, passing under historic bridges as they went.",canal,"{river,stream,highway}"
613,5612,candidate,"The hiring committee interviewed three strong ___ for the position, each with impressive qualifications.",candidates,"{employees,managers,interns}"
621,5701,capital,"To start their new business, they needed to raise a significant amount of ___ to cover initial costs.",capital,"{profit,revenue,salary}"
629,5819,care,The nurses showed great ___ and compassion while tending to the elderly patient.,care,"{skill,patience,knowledge}"
631,5825,careful,You need to be ___ when handling this delicate glass sculpture—it could shatter easily.,careful,"{strong,creative,confident}"
633,5829,careless,The ___ driver ran the red light and caused a serious accident at the intersection.,careless,"{impatient,distracted,aggressive}"
636,5898,carriage,"The royal ___ arrived at the cathedral, drawn by two white horses and decorated with flowers.",carriage,"{wagon,chariot,automobile}"
637,5903,carrot,The snowman's nose was made from a bright orange ___.,carrot,"{pebble,button,twig}"
638,5837,carry,Please make sure to ___ your identification card with you when attending the conference.,carry,"{show,present,display}"
640,5925,carve,The artist began to ___ a detailed figure of a bird from the single block of wood.,carve,"{chop,break,paint}"
642,5941,cash,He preferred to pay with ___ instead of a credit card to avoid digital tracking.,cash,"{check,barter,invoice}"
644,5956,cast,"After she broke her arm, the doctor put her arm in a ___ to help it heal.",cast,"{splint,bandage,sling}"
645,5965,castle,"Perched on the hilltop, the ancient ___ dominated the surrounding countryside with its stone towers.",castle,"{cathedral,monastery,mansion}"
646,5971,casual,"They met for a ___ coffee after work, discussing weekend plans without any formal agenda.",casual,"{quick,friendly,quiet}"
649,5986,catalogue,She browsed the mail-order ___ to choose new furniture for her living room.,catalogue,"{magazine,flyer,inventory}"
650,6003,catch,"He threw the ball so fast that she couldn't ___ it, and it slipped right through her fingers.",catch,"{see,reach,follow}"
652,6026,cater,The new restaurant aims to ___ to vegan diners by offering a wide selection of plant-based meals.,cater,"{attract,serve,satisfy}"
653,6051,cattle,"The dairy farm was famous for its herd of Holstein ___, which produced thousands of gallons of milk each day.",cattle,"{goats,sheep,livestock}"
654,6070,cause,The investigation revealed that a faulty wire was the main ___ of the fire.,cause,"{evidence,detail,origin}"
655,6078,caution,"Drivers are advised to proceed with ___ on icy roads, especially during winter storms.",caution,"{speed,skill,patience}"
656,6080,cautious,"She was ___ about sharing her personal information online, knowing the risks involved.",cautious,"{reluctant,selective,aware}"
657,6086,cave,Explorers discovered ancient paintings deep inside the ___ that had been sealed for centuries.,cave,"{tomb,mine,tunnel}"
666,6183,cent,He found a lonely ___ on the sidewalk and picked it up for good luck.,cent,"{pebble,button,bead}"
669,6215,centre,The shopping ___ in the downtown area attracts thousands of visitors each weekend.,centre,"{plaza,alley,garage}"
673,6264,certain,He had to meet ___ requirements before he could graduate.,certain,"{vague,optional,flexible}"
686,6344,change,The company decided to ___ its logo to reflect a more modern and sustainable image.,change,"{preserve,highlight,restore}"
705,6468,cheek,A single tear rolled down her ___ as she watched the sad ending of the movie.,cheek,"{chin,forehead,eyelid}"
709,6487,chef,"Wearing a tall white hat, the head ___ expertly chopped vegetables with incredible speed and precision.",chef,"{waiter,manager,host}"
710,6490,chemical,The cleaning product contains a ___ that may irritate sensitive skin.,chemical,"{mineral,vitamin,nutrient}"
712,6495,chemistry,The two actors had such great ___ on screen that viewers believed they were a real couple.,chemistry,"{similarity,history,dialogue}"
716,6546,chicken,The farmer collected fresh eggs after the ___ finished laying them in the coop.,chicken,"{rooster,pig,cow}"
718,6560,child,The playground was full of laughter as each ___ took a turn on the new slide.,child,"{adult,parent,teacher}"
723,6656,choir,The harmonies of the singers in the school ___ filled the auditorium during the holiday concert.,choir,"{band,orchestra,class}"
730,6819,cigarette,"He stepped outside to smoke a single ___, holding it between his index and middle fingers.",cigarette,"{cigar,pipe,hookah}"
731,6840,cinema,The new multiplex ___ features ten screens with state-of-the-art sound systems for an immersive movie experience.,cinema,"{stadium,gallery,arena}"
733,6861,circuit,"An overloaded ___ caused the power outage, so the electrician had to reset the breaker for the entire kitchen.",circuit,"{appliance,generator,transformer}"
734,6867,circulate,The teacher asked the students to ___ the petition among their classmates to gather support for the school event.,circulate,"{compose,sign,approve}"
736,6898,circumstance,"The detective explained that the unusual ___ of the case, including the lack of witnesses, made it difficult to solve.",circumstance,"{conclusion,motive,evidence}"
742,6941,civil,"Despite their heated disagreement, the two politicians managed to keep the debate ___ and focused on the issues.",civil,"{formal,private,emotional}"
749,7003,class,The teacher quieted the ___ before starting the day's lesson.,class,"{faculty,staff,principal}"
750,7004,classic,"Though written over a century ago, the novel remains a ___ of children's literature, beloved by each new generation.",classic,"{bestseller,fad,novelty}"
751,7005,classical,"The architect's design was inspired by ___ antiquity, featuring columns, arches, and symmetrical layouts reminiscent of ancient Greece and Rome.",classical,"{modern,gothic,futuristic}"
753,7016,classify,"Biologists ___ organisms into a hierarchical system of kingdom, phylum, class, order, family, genus, and species.",classify,"{observe,gather,examine}"
756,7039,clean,"After scrubbing the floors and dusting the furniture, the entire house was finally ___.",clean,"{ready,new,bright}"
763,7082,click,I heard the ___ of the camera's shutter just as the bird took flight.,click,"{snap,whirr,beep}"
767,7097,climb,The mountaineers began their final ___ to the summit just before dawn to avoid afternoon storms.,climb,"{descent,expedition,pause}"
769,7107,clinic,"The small town has a community health ___ for non-emergency issues, but patients with serious injuries are sent to the large hospital in the city.",clinic,"{office,pharmacy,laboratory}"
778,7164,cloth,The tailor measured and cut the patterned ___ that would soon become a custom-made shirt.,cloth,"{garment,thread,design}"
780,7172,clothing,"When packing for the trip, she made sure to include ___ suitable for both warm days and cool evenings.",clothing,"{supplies,luggage,essentials}"
785,7221,coach,The ___ designed new plays and called timeouts during the championship game.,coach,"{player,manager,sponsor}"
786,7241,coal,"Miners worked deep underground to extract the black, carbon-rich ___ that was used to heat homes and power plants.",coal,"{iron,stone,diamond}"
790,7264,coat,"The dog's thick, furry ___ keeps him warm during the winter months.",coat,"{skin,shell,pelt}"
795,7384,coin,"He flipped a ___ to decide who would go first, calling 'heads' as it spun in the air.",coin,"{card,die,button}"
798,7400,cold,"With a runny nose, a sore throat, and constant sneezing, she knew she had caught a ___.",cold,"{virus,fever,chill}"
802,7430,collar,He loosened the top button of his shirt because his ___ was too tight around his neck.,collar,"{sleeve,cuff,lapel}"
805,7445,collection,My little brother has a huge ___ of toy cars that takes up an entire shelf in his room.,collection,"{container,purchase,arrangement}"
808,7453,college,He applied to several ___ with strong engineering programs before deciding on his final choice.,colleges,"{internships,companies,high schools}"
820,7561,come,Please ___ to my office after the meeting to discuss the new project proposal.,come,"{go,send,return}"
823,7575,comfortable,He chose the plush armchair because it was far more ___ than his old wooden chair.,comfortable,"{stylish,valuable,rigid}"
837,7641,committee,The school formed a parent-teacher ___ to plan the annual fundraising event.,committee,"{audience,squad,clientele}"
843,7675,communist,"The party's platform advocated for a ___ state, where all property would be owned collectively by the community.",communist,"{federal,theocratic,industrial}"
846,7698,company,He enjoyed the ___ of his old friends during the weekend reunion at the cabin.,company,"{advice,stories,disagreement}"
849,7705,compare,"Before buying a new phone, it's wise to ___ different models based on features and price.",compare,"{choose,purchase,combine}"
859,7740,competition,The two rival companies are in fierce ___ to capture the largest market share.,competition,"{collaboration,discussion,agreement}"
869,7769,complex,The engine is a ___ piece of machinery with hundreds of interconnected moving parts.,complex,"{reliable,powerful,small}"
875,7789,component,One crucial ___ of a healthy diet is adequate fiber intake.,component,"{benefit,result,goal}"
878,7799,composition,The orchestra performed a beautiful new ___ that featured a soaring violin solo.,composition,"{instrument,performance,technique}"
882,7821,compromise,"Since they couldn't agree on a destination, they reached a ___ and decided to go to a place halfway between both their suggestions.",compromise,"{disagreement,decision,conclusion}"
885,7837,computer,She used the powerful desktop ___ to run complex simulations for her research.,computer,"{projector,modem,printer}"
902,7951,condition,The old book was in poor ___ and required extensive restoration before being displayed.,condition,"{location,chapter,cover}"
903,7970,conduct,The orchestra director used a baton to ___ the musicians through the complex symphony.,conduct,"{persuade,applaud,compose}"
905,7997,conference,The company held a press ___ to announce its quarterly earnings and answer questions from journalists.,conference,"{party,rehearsal,interview}"
912,8025,confirm,You will receive an email with your booking details; please click the link within 24 hours to ___ your reservation.,confirm,"{change,request,delete}"
922,8089,congratulation,He received a card filled with warm ___ from his entire team after his promotion.,congratulations,"{apologies,reminders,criticisms}"
933,8184,consensus,"The goal of the meeting is to reach a ___, meaning that everyone in the group must agree on the final plan.",consensus,"{compromise,verdict,statement}"
935,8189,consequence,One major ___ of desertification is the loss of fertile land for agriculture.,consequence,"{cause,component,prevention}"
944,8216,consist,"The committee meeting agenda will ___ of three main topics: budget, staffing, and policy changes.",consist,"{speak,warn,remind}"
1022,8623,corner,"The small café is just around the ___ from the main square, hidden from the tourist crowds.",corner,"{bend,curve,edge}"
1048,8797,counter,She placed her bag on the ___ while waiting to order coffee at the bustling café.,counter,"{table,ledge,bench}"
1051,8853,country,"Japan is an island ___ in East Asia known for its temples, gardens, and advanced technology.",country,"{continent,peninsula,state}"
1057,8870,course,She enrolled in a year-long ___ on environmental science at the local university.,course,"{seminar,program,workshop}"
1058,8875,court,The judge dismissed the case after both parties reached a settlement before appearing in ___.,court,"{chamber,tribunal,office}"
1060,8886,cousin,"My aunt's son, who is my favorite ___, is coming to visit next week.",cousin,"{uncle,brother,nephew}"
1061,8896,cover,The journalist was sent abroad to ___ the developing political crisis for the major news outlet.,cover,"{observe,analyze,influence}"
1067,8991,crash,The driver fell asleep at the wheel and ___ into the guardrail on the highway.,crashed,"{swerved,drove,veered}"
1069,9009,crazy,"After winning the lottery, he went ___ with excitement and started dancing in the street.",crazy,"{speechless,wild,numb}"
1070,9014,cream,She added a dollop of whipped ___ to the top of her hot chocolate.,cream,"{frosting,foam,yogurt}"
1071,9018,create,The artist used recycled materials to ___ a sculpture for the public park.,create,"{assemble,design,construct}"
1076,9031,creature,The remote forest is said to be home to a mysterious ___ rarely seen by humans.,creature,"{spirit,organism,phantom}"
1079,9039,credit,She earned full ___ for the project's success due to her innovative leadership and hard work.,credit,"{recognition,praise,approval}"
1081,9083,crew,The film's director worked closely with the camera ___ to achieve the perfect shot.,crew,"{cast,staff,team}"
1082,9091,crime,The detective spent years investigating the high-profile ___ that shocked the entire city.,crime,"{incident,case,mystery}"
1083,9092,criminal,The police finally captured the ___ who had been on the run for weeks.,criminal,"{witness,victim,detective}"
1092,9151,crop,Farmers harvested an abundant ___ of wheat after the rainy season ended.,crop,"{yield,harvest,supply}"
1095,9197,crowded,The subway car was so ___ during rush hour that I had to stand for over twenty minutes.,crowded,"{packed,stuffy,uncomfortable}"
1099,9218,cruel,It was ___ of him to mock the injured bird instead of helping it or at least leaving it in peace.,cruel,"{careless,childish,thoughtless}"
1108,9324,culture,"Japanese ___ emphasizes respect, discipline, and harmony in both personal and professional settings.",culture,"{society,tradition,philosophy}"
1113,9370,curious,"Leaning closer to examine its brightly colored wings, the child gave a ___ glance at the strange-looking insect.",curious,"{bored,frightened,disgusted}"
1115,9379,currency,"Before traveling to Japan, we exchanged our US dollars for Japanese yen, the local ___.",currency,"{tender,rate,coin}"
1119,9399,curtain,"When the ___ rose, the audience saw a dazzling set decorated like an enchanted forest.",curtain,"{screen,backdrop,scenery}"
1130,9556,dad,"For Father's Day, my sister and I bought ___ a new watch.",Dad,"{Coach,Uncle,Teacher}"
1133,9568,daily,"To improve her health, she made it a ___ habit to go for a run every single morning.",daily,"{weekly,occasional,rare}"
1136,9579,damage,"The storm caused significant ___ to homes, uprooting trees and tearing off roofs.",damage,"{disruption,harm,trouble}"
1138,1581,dance,They decided to ___ under the stars at their outdoor wedding reception.,dance,"{mingle,socialize,celebrate}"
1141,9612,danger,The hikers were warned about the ___ of encountering wild animals on the trail at night.,danger,"{risk,possibility,chance}"
1142,9613,dangerous,It is extremely ___ to swim in this river during heavy rains due to the strong currents.,dangerous,"{difficult,unwise,challenging}"
1145,9637,darkness,"As he realized the devastating truth, a sense of ___ washed over him, extinguishing all hope.",darkness,"{panic,anger,confusion}"
1149,9662,date,They went on a romantic ___ to the seaside restaurant last Saturday night.,date,"{outing,gathering,engagement}"
1150,9670,daughter,The father proudly walked his ___ down the aisle on her wedding day.,daughter,"{niece,cousin,friend}"
1153,9702,dead,The flowers left in the sun too long soon became ___ and brittle.,dead,"{dry,wilted,faded}"
1154,9707,deadline,She worked through the night to meet the ___ for her article submission.,deadline,"{opportunity,requirement,session}"
1157,9717,deal,"After hours of negotiation, the two companies finally struck a ___ that was mutually beneficial.",deal,"{conversation,disagreement,proposal}"
1161,9740,debate,The two candidates engaged in a heated ___ over economic policy during the live broadcast.,debate,"{conflict,agreement,interview}"
1176,9901,decoration,"The Christmas tree was covered with handmade ornaments, each a unique work of ___.",decoration,"{construction,assembly,utility}"
1177,9912,decrease,"To improve air quality, the city implemented policies aimed at a significant ___ in vehicle emissions.",decrease,"{increase,variation,assessment}"
